,company,epoch,frac,seed,test acc,test loss,total time,train acc,train loss,train time,train_acc,train_loss,train_time,valid acc,valid loss,valid time,valid_acc,valid_loss,valid_time
0,small,1,0.01,3,0.0,0,0.0012849140002799686,,,,,,0.0012849140002799686,,,,0.1346153846153846,2.3016075721153846,0.008540409999113763
1,small,2,0.01,3,0.0,0,0.0007480580006813398,,,,,,0.0007480580006813398,,,,0.1346153846153846,2.3016075721153846,0.007761906999803614
2,small,3,0.01,3,0.0,0,0.0006980409998504911,,,,,,0.0006980409998504911,,,,0.1346153846153846,2.3016075721153846,0.0074425239999982296
3,small,4,0.01,3,0.0,0,0.0010027610005636234,,,,,,0.0010027610005636234,,,,0.1346153846153846,2.3016075721153846,0.007467007999366615
4,small,5,0.01,3,0.0,0,0.000602435999098816,,,,,,0.000602435999098816,,,,0.1346153846153846,2.3016075721153846,0.007378808000794379
5,small,6,0.01,3,0.0,0,0.0005907959985052003,,,,,,0.0005907959985052003,,,,0.1346153846153846,2.3016075721153846,0.007406679000268923
6,small,7,0.01,3,0.0,0,0.0007533970001531998,,,,,,0.0007533970001531998,,,,0.1346153846153846,2.3016075721153846,0.007342230999711319
7,small,8,0.01,3,0.0,0,0.0006895370006532175,,,,,,0.0006895370006532175,,,,0.1346153846153846,2.3016075721153846,0.007401718999972218
8,small,9,0.01,3,0.0,0,0.0008542409996152855,,,,,,0.0008542409996152855,,,,0.1346153846153846,2.3016075721153846,0.007373211999947671
9,small,10,0.01,3,0.0,0,0.0009615250000933884,,,,,,0.0009615250000933884,,,,0.1346153846153846,2.3016075721153846,0.007363098999121576
10,small,11,0.01,3,0.0,0,0.0009252089985238854,,,,,,0.0009252089985238854,,,,0.1346153846153846,2.3016075721153846,0.009428000001207693
11,small,12,0.01,3,0.0,0,0.0009150099995167693,,,,,,0.0009150099995167693,,,,0.1346153846153846,2.3016075721153846,0.00738642800024536
12,small,13,0.01,3,0.0,0,0.001188905998787959,,,,,,0.001188905998787959,,,,0.1346153846153846,2.3016075721153846,0.007381677000012132
13,small,14,0.01,3,0.0,0,0.001166637999631348,,,,,,0.001166637999631348,,,,0.1346153846153846,2.3016075721153846,0.007455496001057327
14,small,15,0.01,3,0.0,0,0.0011577570003282744,,,,,,0.0011577570003282744,,,,0.1346153846153846,2.3016075721153846,0.008067576000030385
15,small,16,0.01,3,0.0,0,0.001390863999404246,,,,,,0.001390863999404246,,,,0.1346153846153846,2.3016075721153846,0.007421270000122604
16,small,17,0.01,3,0.0,0,0.0006629800009250175,,,,,,0.0006629800009250175,,,,0.1346153846153846,2.3016075721153846,0.007377193000138504
