,epoch,company,frac,seed,test loss,test acc,train_time,train_loss,train_acc,valid_time,valid_loss,valid_acc,total time,train time,train loss,train acc,valid time,valid loss,valid acc
0,1,small,0.2,0,0,0.0,2.0549721880001925,2.0844814076143154,0.2522977941176471,0.17357766800000718,2.2547601569990414,0.11697027804410355,2.0549721880001925,,,,,,
1,2,small,0.2,0,0,0.0,1.9802676300000712,1.7338236763196833,0.3528262867647059,0.11573956600000201,4.378329635466505,0.1725790987535954,1.9802676300000712,,,,,,
2,3,small,0.2,0,0,0.0,1.9855370070001754,1.523451805114746,0.44738051470588236,0.07092730599993047,2.0108072421694763,0.35570469798657717,1.9855370070001754,,,,,,
3,4,small,0.2,0,0,0.0,1.9907456650000768,1.4676404364187927,0.4736902573529412,0.07112254499998016,2.87768745513799,0.29050814956855225,1.9907456650000768,,,,,,
4,5,small,0.2,0,0,0.0,1.992823842000007,1.3090618537629353,0.5355009191176471,0.07232669299992267,1.834578245278173,0.4563758389261745,1.992823842000007,,,,,,
5,6,small,0.2,0,0,0.0,2.006125769999926,1.1734259754200191,0.5796185661764706,0.07334460600009152,1.2350379408034473,0.5685522531160115,2.006125769999926,,,,,,
6,7,small,0.2,0,0,0.0,2.014426023999931,0.9619380687089527,0.6546415441176471,0.07357480600012423,1.2875687259955695,0.5407478427612655,2.014426023999931,,,,,,
7,8,small,0.2,0,0,0.0,2.020380765000027,0.8645983669249451,0.6893382352941176,0.07347641100000146,0.8842045581923692,0.6644295302013423,2.020380765000027,,,,,,
8,9,small,0.2,0,0,0.0,2.0303422329998284,0.78027762702721,0.7209329044117647,0.07292189000008875,0.9935415337435466,0.6577181208053692,2.0303422329998284,,,,,,
9,10,small,0.2,0,0,0.0,2.0307391449998704,0.704515370704672,0.7472426470588235,0.07346474200016928,0.8309403892217181,0.7037392138063279,2.0307391449998704,,,,,,
10,11,small,0.2,0,0,0.0,2.032285550000097,0.6377193856546107,0.7806755514705882,0.07256820199995673,1.0684694727223762,0.6308724832214765,2.032285550000097,,,,,,
11,12,small,0.2,0,0,0.0,2.0533900780001204,0.596552180016742,0.7913602941176471,0.07212318199981382,0.8918503992623816,0.7037392138063279,2.0533900780001204,,,,,,
12,13,small,0.2,0,0,0.0,2.05424538200009,0.5596094680402208,0.8034237132352942,0.07245306000004348,0.781054185883768,0.7267497603068073,2.05424538200009,,,,,,
