,epoch,company,frac,seed,test loss,test acc,train_time,train_loss,train_acc,valid_time,valid_loss,valid_acc,total time,train time,train loss,train acc,valid time,valid loss,valid acc
0,1,small,0.2,3,0,0.0,2.086249501000566,2.1079893953659954,0.2309283088235294,1.1572977280002306,2.2342458756733596,0.15670910871694418,2.086249501000566,,,,,,
1,2,small,0.2,3,0,0.0,2.012175328000012,1.708095939720378,0.3609834558823529,0.07102493399997911,1.816552628265889,0.37414299706170423,2.012175328000012,,,,,,
2,3,small,0.2,3,0,0.0,2.020054892999724,1.545700781923883,0.4362362132352941,0.07238927500020509,4.166792822864918,0.21547502448579825,2.020054892999724,,,,,,
3,4,small,0.2,3,0,0.0,2.019966588999523,1.4846104943357847,0.4677159926470588,0.07075634299962985,2.353686340175109,0.3574926542605289,2.019966588999523,,,,,,
4,5,small,0.2,3,0,0.0,2.0283915339996383,1.3085027923259664,0.5306755514705882,0.06984154499969009,1.4604961645591503,0.5073457394711067,2.0283915339996383,,,,,,
5,6,small,0.2,3,0,0.0,2.0341906200001176,1.171000704059706,0.583984375,0.0702490020003097,1.4848884419993251,0.5259549461312438,2.0341906200001176,,,,,,
6,7,small,0.2,3,0,0.0,2.048744638000244,0.9751783492153182,0.6471737132352942,0.0721122330005528,1.0105355568193666,0.6287952987267384,2.048744638000244,,,,,,
7,8,small,0.2,3,0,0.0,2.0600189750002755,0.8823315503404421,0.6789981617647058,0.07114512499992998,1.0218900172413854,0.6552399608227228,2.0600189750002755,,,,,,
8,9,small,0.2,3,0,0.0,2.0721130720003202,0.7630055685911108,0.7273667279411765,0.070742429999882,0.7231536196448076,0.7531831537708129,2.0721130720003202,,,,,,
9,10,small,0.2,3,0,0.0,2.0744769650000308,0.7132762455764938,0.7457490808823529,0.0713690359998509,0.8640636888703916,0.6993143976493633,2.0744769650000308,,,,,,
10,11,small,0.2,3,0,0.0,2.0720263060002253,0.6504631943124182,0.7725183823529411,0.07295841399991332,0.7493653479565836,0.7492654260528894,2.0720263060002253,,,,,,
11,12,small,0.2,3,0,0.0,2.0676689160000024,0.5932530917446402,0.7912454044117647,0.07171172100061085,0.8432301195314652,0.7198824681684622,2.0676689160000024,,,,,,
12,13,small,0.2,3,0,0.0,2.051080471000205,0.5404635775176918,0.8136488970588235,0.07181216800017864,0.7270962605864014,0.752203721841332,2.051080471000205,,,,,,
13,14,small,0.2,3,0,0.0,2.0324234210002032,0.47627663809586973,0.8349034926470589,0.07096483700024692,0.6063520065367397,0.7972575905974535,2.0324234210002032,,,,,,
14,15,small,0.2,3,0,0.0,2.0298436550001497,0.4590916410088539,0.8389246323529411,0.07066248599949176,0.6039391479342738,0.7874632713026445,2.0298436550001497,,,,,,
15,16,small,0.2,3,0,0.0,2.028822033999859,0.4174542917924769,0.8550091911764706,0.07046195800012356,0.5179902075787133,0.8256611165523996,2.028822033999859,,,,,,
16,17,small,0.2,3,0,0.0,2.021737850000136,0.3720089902772623,0.8748851102941176,0.07144243200036726,0.6168212049971832,0.8001958863858962,2.021737850000136,,,,,,
17,18,small,0.2,3,0,0.0,2.0130124239994984,0.3487003813771641,0.8817784926470589,0.0720925610003178,0.5199561693525921,0.8334965719882468,2.0130124239994984,,,,,,
18,19,small,0.2,3,0,0.0,2.009709490000205,0.31742407337707634,0.8938419117647058,0.07190159099991433,0.7706576832127735,0.7512242899118511,2.009709490000205,,,,,,
19,20,small,0.2,3,0,0.0,2.0034270759997526,0.28202341332593384,0.9073988970588235,0.0704140150000967,0.6016254378345874,0.8070519098922625,2.0034270759997526,,,,,,
20,21,small,0.2,3,0,0.0,1.9961947390002024,0.2578156351604882,0.9164751838235294,0.06960246699964046,0.4720949888462885,0.8452497551420176,1.9961947390002024,,,,,,
21,22,small,0.2,3,0,0.0,1.9928483980002056,0.22830567837638013,0.9265854779411765,0.0697187549994851,0.5024935043290126,0.8227228207639569,1.9928483980002056,,,,,,
22,23,small,0.2,3,0,0.0,1.9925681340000665,0.20646376984522624,0.9377297794117647,0.06852439900012541,0.49941377985372365,0.8423114593535749,1.9925681340000665,,,,,,
23,24,small,0.2,3,0,0.0,1.9870063830003346,0.18670963145354214,0.9471507352941176,0.07038057799945818,0.440702497200214,0.8570029382957884,1.9870063830003346,,,,,,
24,24,small,0.2,3,,0.8349,,,,,,,,,,,,,
0,1,small,0.3,3,0,0.0,3.0359526369993546,2.0139038379375753,0.27869591346153844,1.1555322890008028,2.0970833971609477,0.21764705882352942,3.0359526369993546,,,,,,
1,2,small,0.3,3,0,0.0,3.033214199000213,1.5742642627312586,0.4217998798076923,0.10288366199984011,1.7630168721566792,0.4339869281045752,3.033214199000213,,,,,,
2,3,small,0.3,3,0,0.0,3.0267254950003917,1.3642609714028926,0.5033052884615384,0.10365103000003728,1.4684453409481673,0.5006535947712418,3.0267254950003917,,,,,,
3,4,small,0.3,3,0,0.0,3.029967497999678,1.283443225834232,0.5453725961538461,0.10308759000054124,2.658193060307721,0.338562091503268,3.029967497999678,,,,,,
4,5,small,0.3,3,0,0.0,3.0280912680000256,1.0466273987235932,0.6295823317307693,0.10413217299992539,1.03572442297842,0.6333333333333333,3.0280912680000256,,,,,,
5,6,small,0.3,3,0,0.0,3.0305801750000683,0.9151583334001211,0.6737530048076923,0.10486787999980152,0.8573509365904565,0.6823529411764706,3.0305801750000683,,,,,,
6,7,small,0.3,3,0,0.0,3.036692620999929,0.7648483279805917,0.7262620192307693,0.10360341500017967,0.8101971900541018,0.7130718954248366,3.036692620999929,,,,,,
7,8,small,0.3,3,0,0.0,3.0384447410006032,0.6698839113546106,0.7640474759615384,0.10399712699927477,0.7962492531421138,0.7045751633986929,3.0384447410006032,,,,,,
8,9,small,0.3,3,0,0.0,3.041969056000198,0.6145991122063535,0.7820763221153846,0.10376510500009317,0.7721250858182221,0.7392156862745098,3.041969056000198,,,,,,
9,10,small,0.3,3,0,0.0,3.0541895639998984,0.5528864171355963,0.80859375,0.10367990500071755,0.6625904126884111,0.7823529411764706,3.0541895639998984,,,,,,
10,11,small,0.3,3,0,0.0,3.0558786470000996,0.5159516774404508,0.8203876201923077,0.10479422899970814,0.6562682893541124,0.7686274509803922,3.0558786470000996,,,,,,
11,12,small,0.3,3,0,0.0,3.062920068000494,0.46337705642844623,0.8408203125,0.10399483299988788,0.6785166621987336,0.7679738562091504,3.062920068000494,,,,,,
12,13,small,0.3,3,0,0.0,3.0669978149999224,0.4356323081570176,0.8505108173076923,0.10549295700002403,0.5621627689187043,0.8143790849673203,3.0669978149999224,,,,,,
13,14,small,0.3,3,0,0.0,3.064595616000588,0.3985847529883568,0.8620042067307693,0.1040109109999321,0.6844318121866463,0.777124183006536,3.064595616000588,,,,,,
14,15,small,0.3,3,0,0.0,3.0726535840003635,0.36416097307721007,0.8765024038461539,0.10411814100007177,0.6949635605406917,0.7633986928104575,3.0726535840003635,,,,,,
15,16,small,0.3,3,0,0.0,3.0752796730002956,0.3389547203595822,0.8872445913461539,0.10463651699956245,0.7293925933588564,0.7633986928104575,3.0752796730002956,,,,,,
16,17,small,0.3,3,0,0.0,3.080876134999926,0.3071421089653785,0.8962590144230769,0.10493253399999958,0.5203099456487917,0.8274509803921568,3.080876134999926,,,,,,
17,18,small,0.3,3,0,0.0,3.070881544000258,0.28168556989672094,0.9044471153846154,0.10525117999986833,0.5504781012441597,0.8209150326797385,3.070881544000258,,,,,,
18,19,small,0.3,3,0,0.0,3.073257062000266,0.246690577827394,0.9205979567307693,0.10338863000015408,0.49258479947358175,0.8320261437908497,3.073257062000266,,,,,,
19,20,small,0.3,3,0,0.0,3.0717046150002716,0.23327555106236383,0.9212740384615384,0.10437065899986919,0.568519302442962,0.8150326797385621,3.0717046150002716,,,,,,
20,21,small,0.3,3,0,0.0,3.0687178450007195,0.20066261255683807,0.9393028846153846,0.10432725699956791,0.495528820760889,0.838562091503268,3.0687178450007195,,,,,,
21,22,small,0.3,3,0,0.0,3.0618275429997084,0.1807055610160415,0.9438852163461539,0.10354809100044804,0.41421722461974697,0.869281045751634,3.0618275429997084,,,,,,
22,23,small,0.3,3,0,0.0,3.0631656739997197,0.15470995746839505,0.9533503605769231,0.10369153899955563,0.4070980252783283,0.8627450980392157,3.0631656739997197,,,,,,
23,24,small,0.3,3,0,0.0,3.0587436240002717,0.13784239627420902,0.9614633413461539,0.10306701399986196,0.4015676510879417,0.8758169934640523,3.0587436240002717,,,,,,
24,24,small,0.3,3,,0.8698,,,,,,,,,,,,,
0,1,small,0.4,3,0,0.0,4.118975680999938,1.9439101338386535,0.29503348214285713,1.193369972000255,2.1810624980832922,0.28949950932286556,4.118975680999938,,,,,,
1,2,small,0.4,3,0,0.0,4.117956392000451,1.411458556141172,0.47700892857142857,0.1375613579994024,2.2731157186805793,0.34838076545632973,4.117956392000451,,,,,,
2,3,small,0.4,3,0,0.0,4.1128102459997535,1.1833289986742395,0.5712053571428571,0.13745487999949546,1.2044504233969557,0.5691854759568205,4.1128102459997535,,,,,,
3,4,small,0.4,3,0,0.0,4.107208462999552,1.028726855026824,0.6344866071428571,0.13763636400017276,1.3786926302287483,0.5682041216879293,4.107208462999552,,,,,,
4,5,small,0.4,3,0,0.0,4.110229489000631,0.9109425166355712,0.6819754464285714,0.13761979799983237,1.129585482772363,0.6251226692836114,4.110229489000631,,,,,,
5,6,small,0.4,3,0,0.0,4.09972185100014,0.755129702974643,0.7305803571428572,0.13780301899987535,0.7785982963966317,0.7271835132482827,4.09972185100014,,,,,,
6,7,small,0.4,3,0,0.0,4.102794499000083,0.6438062293188912,0.7770089285714286,0.13915966900003696,0.7571009475887699,0.7315996074582924,4.102794499000083,,,,,,
7,8,small,0.4,3,0,0.0,4.100336597000023,0.573219977372459,0.8,0.1375824909991934,0.7780862130641469,0.7389597644749755,4.100336597000023,,,,,,
8,9,small,0.4,3,0,0.0,4.108147058999748,0.530087616613933,0.8128348214285714,0.13639903100010997,0.5626942065559963,0.8047105004906772,4.108147058999748,,,,,,
9,10,small,0.4,3,0,0.0,4.107767718000105,0.47153382689825124,0.8381138392857143,0.1358359770001698,0.6528506812450345,0.7708537782139352,4.107767718000105,,,,,,
