Dataset,0.5,0.6,0.7,0.8,0.9
Pinterest RecSys,0.01,0.05,0.05,0.1,0.2
CIFAR10,0.05,0.1,0.1,0.2,0.3
Toxic Comments,0.1,0.1,0.2,0.3,0.5
ML-10M RecSys,0.5,0.6,0.7,0.8,0.9
