,company,frac,seed,valid_acc
23,small,0.01,0,0.2119
47,small,0.05,0,0.602
71,small,0.1,0,0.772
95,small,0.2,0,0.8423
119,small,0.3,0,0.8763
143,small,0.4,0,0.8981
167,small,0.5,0,0.9114
191,large,0.01,0,0.9417
215,large,0.05,0,0.9405
239,large,0.1,0,0.9359999999999999
263,large,0.2,0,0.9335
287,large,0.3,0,0.9293
311,large,0.4,0,0.9194
335,large,0.5,0,0.9095
