,company,fold,frac,hidden_score,len(train_y),score,seed
98,large,8,0.05,0.9507042253521126,369,0.9512195121951219,4
99,large,9,0.05,0.9577464788732394,369,0.9512195121951219,4
100,small,0,0.1,0.8661971830985915,41,0.8,0
101,small,1,0.1,0.8732394366197183,41,1.0,0
102,small,2,0.1,0.8732394366197183,41,1.0,0
103,small,3,0.1,0.8661971830985915,41,1.0,0
104,small,4,0.1,0.8732394366197183,41,1.0,0
105,small,5,0.1,0.9014084507042254,41,0.8,0
106,small,6,0.1,0.8732394366197183,42,1.0,0
107,small,7,0.1,0.8732394366197183,42,1.0,0
108,small,8,0.1,0.8732394366197183,42,1.0,0
109,small,9,0.1,0.8732394366197183,42,1.0,0
110,large,0,0.1,0.9577464788732394,342,0.9230769230769231,0
111,large,1,0.1,0.9507042253521126,343,0.8157894736842105,0
112,large,2,0.1,0.9577464788732394,343,1.0,0
113,large,3,0.1,0.9577464788732394,343,1.0,0
114,large,4,0.1,0.9647887323943662,343,0.9210526315789473,0
115,large,5,0.1,0.9647887323943662,343,0.9473684210526315,0
116,large,6,0.1,0.9577464788732394,343,0.9736842105263158,0
117,large,7,0.1,0.9507042253521126,343,0.9473684210526315,0
118,large,8,0.1,0.9577464788732394,343,0.9473684210526315,0
119,large,9,0.1,0.9647887323943662,343,0.9736842105263158,0
120,small,0,0.1,0.8661971830985915,42,1.0,1
121,small,1,0.1,0.852112676056338,42,0.8,1
122,small,2,0.1,0.8661971830985915,42,1.0,1
123,small,3,0.1,0.8661971830985915,42,1.0,1
124,small,4,0.1,0.8661971830985915,42,1.0,1
125,small,5,0.1,0.8661971830985915,42,1.0,1
126,small,6,0.1,0.8591549295774648,42,0.6,1
127,small,7,0.1,0.8661971830985915,43,1.0,1
128,small,8,0.1,0.8802816901408451,43,0.75,1
129,small,9,0.1,0.8380281690140845,43,0.75,1
130,large,0,0.1,0.9577464788732394,342,1.0,1
131,large,1,0.1,0.9577464788732394,342,0.9736842105263158,1
132,large,2,0.1,0.9577464788732394,342,0.9736842105263158,1
133,large,3,0.1,0.9577464788732394,342,1.0,1
134,large,4,0.1,0.9577464788732394,342,0.9736842105263158,1
135,large,5,0.1,0.9507042253521126,342,0.9736842105263158,1
136,large,6,0.1,0.9647887323943662,342,0.9473684210526315,1
137,large,7,0.1,0.9577464788732394,342,0.8157894736842105,1
138,large,8,0.1,0.9577464788732394,342,1.0,1
139,large,9,0.1,0.9577464788732394,342,0.9736842105263158,1
140,small,0,0.1,0.8873239436619719,41,1.0,2
141,small,1,0.1,0.8873239436619719,41,1.0,2
142,small,2,0.1,0.9084507042253521,41,1.0,2
143,small,3,0.1,0.8873239436619719,41,1.0,2
144,small,4,0.1,0.8873239436619719,41,1.0,2
