,company,frac,rmse,scenario,seed
0,small,0.01,0.9670818710043558,0.01_random0,0
1,large,0.01,0.7841401562369195,0.01_random0,0
2,small,0.01,0.9555790313641132,0.01_random1,1
3,large,0.01,0.7842757851446536,0.01_random1,1
4,small,0.01,0.9612857329817946,0.01_random2,2
5,large,0.01,0.7840084541808398,0.01_random2,2
6,small,0.01,0.9640313175934943,0.01_random3,3
7,large,0.01,0.7837151289361051,0.01_random3,3
8,small,0.01,0.9632594011987187,0.01_random4,4
9,large,0.01,0.783956907502041,0.01_random4,4
10,small,0.05,0.9085262700201062,0.05_random0,0
11,large,0.05,0.786210230514238,0.05_random0,0
12,small,0.05,0.9100333552328382,0.05_random1,1
13,large,0.05,0.7858836652650208,0.05_random1,1
14,small,0.05,0.9020243170471781,0.05_random2,2
15,large,0.05,0.7859393222658828,0.05_random2,2
16,small,0.05,0.9020027856260077,0.05_random3,3
17,large,0.05,0.7857659662796479,0.05_random3,3
18,small,0.05,0.9023036493884441,0.05_random4,4
19,large,0.05,0.7857263294924639,0.05_random4,4
20,small,0.1,0.891069312706933,0.1_random0,0
21,large,0.1,0.7872234169067303,0.1_random0,0
22,small,0.1,0.8916061916628772,0.1_random1,1
23,large,0.1,0.7878958833667056,0.1_random1,1
24,small,0.1,0.8883502136496573,0.1_random2,2
25,large,0.1,0.7879764101034176,0.1_random2,2
26,small,0.1,0.8886122152111481,0.1_random3,3
27,large,0.1,0.7887842566672205,0.1_random3,3
28,small,0.1,0.8904656537136251,0.1_random4,4
29,large,0.1,0.7886343713655832,0.1_random4,4
30,small,0.2,0.8775461580814845,0.2_random0,0
31,large,0.2,0.7948612362317207,0.2_random0,0
32,small,0.2,0.8816159527981287,0.2_random1,1
33,large,0.2,0.7955198376230356,0.2_random1,1
34,small,0.2,0.8786004547301798,0.2_random2,2
35,large,0.2,0.795168228242635,0.2_random2,2
36,small,0.2,0.8795116849240313,0.2_random3,3
37,large,0.2,0.7948455930832016,0.2_random3,3
38,small,0.2,0.8790665765217647,0.2_random4,4
39,large,0.2,0.7955432106908829,0.2_random4,4
40,small,0.3,0.8769720446792725,0.3_random0,0
41,large,0.3,0.8007361909331211,0.3_random0,0
42,small,0.3,0.8741038247007933,0.3_random1,1
43,large,0.3,0.8031108142645146,0.3_random1,1
44,small,0.3,0.870928617517615,0.3_random2,2
45,large,0.3,0.8032417767079696,0.3_random2,2
46,small,0.3,0.8723433609134335,0.3_random3,3
47,large,0.3,0.8008762616416281,0.3_random3,3
48,small,0.3,0.8721253126477705,0.3_random4,4
49,large,0.3,0.8040324860932938,0.3_random4,4
50,small,0.4,0.8408638658381425,0.4_random0,0
51,large,0.4,0.81163757728725,0.4_random0,0
52,small,0.4,0.8420110137998282,0.4_random1,1
53,large,0.4,0.8100587687787177,0.4_random1,1
54,small,0.4,0.8437327262591161,0.4_random2,2
55,large,0.4,0.8116578463457619,0.4_random2,2
56,small,0.4,0.8466622585835476,0.4_random3,3
57,large,0.4,0.8127200214218127,0.4_random3,3
58,small,0.4,0.8433639966612411,0.4_random4,4
59,large,0.4,0.8095886232342245,0.4_random4,4
60,small,0.5,0.8239776570665037,0.5_random0,0
61,large,0.5,0.8255577655287657,0.5_random0,0
62,small,0.5,0.8224771376309034,0.5_random1,1
63,large,0.5,0.8232372106722559,0.5_random1,1
64,small,0.5,0.825007318986107,0.5_random2,2
65,large,0.5,0.8242659319329741,0.5_random2,2
66,small,0.5,0.8236241756445342,0.5_random3,3
67,large,0.5,0.824448855396846,0.5_random3,3
68,small,0.5,0.8305496463790252,0.5_random4,4
69,large,0.5,0.8256717678182942,0.5_random4,4
