company,frac,seed,val
small,0.01,,5326.666666666666
large,0.01,,535.7912457912457
small,0.05,,2388.0
large,0.05,,546.8771929824561
small,0.1,,1684.0
large,0.1,,561.8888888888889
small,0.2,,1192.6666666666665
large,0.2,,596.0416666666666
small,0.3,,973.0
large,0.3,,637.1904761904763
small,0.4,,842.8333333333333
large,0.4,,688.0
small,0.5,,754.1333333333333
large,0.5,,753.6666666666666
