dataset,transfer_bonus
pinterest-20,-4.863984906527952e-05
pinterest-20,0.0010536401972336407
pinterest-20,-0.005995218894605525
pinterest-20,0.007719814470586228
pinterest-20,0.012116277233176542
pinterest-20,0.019404713471092072
pinterest-20,0.027692622518222687
ml-10m_32_50,0.0009126653422315001
ml-10m_32_50,0.0042920914424458
ml-10m_32_50,0.005406719149285033
ml-10m_32_50,0.014262518328550522
ml-10m_32_50,0.02624222910943852
ml-10m_32_50,0.038525864620042816
ml-10m_32_50,0.05906815449386882
cifar10,0.0002250117680804714
cifar10,0.002276687837583058
cifar10,0.005951543873560117
cifar10,0.011144196296695608
cifar10,0.01790146082124866
cifar10,0.01954881947784748
cifar10,0.03539325741281574
toxic,0.008135383099525717
toxic,0.026538495655274996
toxic,0.03335518296717066
toxic,0.04447823891582714
toxic,0.05236991957236281
toxic,0.07924138832151861
toxic,0.08904170502132913
