frac,large,small,frac,small_std,large_std,small_iow,large_iow,duplication,transfer,deletion,transfer_bonus,dup_bonus
0.01,0.694698804429395,0.16890736231884057,0.01,0.0002452687144358876,0.0019647484975051223,0.0032705275570307224,0.5290619696675851,0.00612081539235806,0.0061817475920365765,0.00985679191382871,6.093219967851643e-05,-0.0037359765214706507
0.05,0.6725789562829022,0.1863324175425879,0.05,0.0008128909565786778,0.0021248691582558287,0.020695582780778043,0.5069421215210923,0.038731929155005354,0.04082435035913062,0.05125424374713372,0.0020924212041252693,-0.012522314592128367
0.1,0.6501156124667795,0.211442703388295,0.1,0.0005947136900137581,0.011542496650936014,0.04580586862648514,0.48447877770496967,0.08572600623609046,0.09454669788318217,0.09329455014907218,0.008820691647091705,-0.007568543912981715
0.2,0.5897758550396377,0.2648960115973543,0.2,0.0008668329940591953,0.002372183154292602,0.09925917683554447,0.42413902027782785,0.1857642495938413,0.23402510047419306,0.20622083179352668,0.04826085088035176,-0.02045658219968538
0.3,0.5352798332945043,0.31789553998550374,0.3,0.0009414722049781122,0.0010987753415709694,0.1522587052236939,0.3696429985326945,0.28495324081592494,0.4119074507784212,0.308210520889046,0.1269542099624963,-0.023257280073121056
0.4,0.48035251993235084,0.37168498301245756,0.4,0.0013933831783293786,0.0017546326886699194,0.2060481482506477,0.314715685170541,0.38562056285636515,0.65471203997663,0.41100737528802744,0.2690914771202648,-0.025386812431662298
0.5,0.4259843037960266,0.4259843037960266,0.5,0.00192630362543779,0.0019263036254378006,0.26034746903421674,0.26034746903421674,0.48724212471484396,1.0,0.512757875285156,0.512757875285156,-0.02551575057031208
0.6,0.37168498301245756,0.48035251993235084,0.6,0.0017546326886699194,0.0013933831783293786,0.314715685170541,0.2060481482506477,0.5889926247119726,,0.6143794371436349,,-0.025386812431662298
0.7,0.31789553998550374,0.5352798332945043,0.7,0.0010987753415709694,0.0009414722049781122,0.3696429985326945,0.1522587052236939,0.691789479110954,,0.715046759184075,,-0.023257280073121
0.8,0.2648960115973543,0.5897758550396377,0.8,0.002372183154292602,0.0008668329940591953,0.42413902027782785,0.09925917683554447,0.7937791682064733,,0.8142357504061587,,-0.02045658219968538
0.9,0.211442703388295,0.6501156124667795,0.9,0.011542496650936014,0.0005947136900137581,0.48447877770496967,0.04580586862648514,0.9067054498509278,,0.9142739937639095,,-0.007568543912981673
0.95,0.1863324175425879,0.6725789562829022,0.95,0.0021248691582558287,0.0008128909565786778,0.5069421215210923,0.020695582780778043,0.9487457562528663,,0.9612680708449947,,-0.01252231459212838
0.99,0.16890736231884057,0.694698804429395,0.99,0.0019647484975051223,0.0002452687144358876,0.5290619696675851,0.0032705275570307224,0.9901432080861713,,0.9938791846076419,,-0.0037359765214706186
