frac,large,small,frac,small_std,large_std,small_iow,large_iow,duplication,transfer,deletion,transfer_bonus,dup_bonus
0.01,0.9373400000000001,0.09972,0.01,0.0007014271166700028,0.0009154233993076338,0.06125846153846154,0.8988784615384616,0.06764671156256753,0.0681498825031535,0.007383298724875642,0.0005031709405859675,0.06026341283769189
0.05,0.93674,0.56672,0.05,0.021470025617124917,0.0014188023118109436,0.5282584615384616,0.8982784615384616,0.5833471308407175,0.5880787352217318,0.008045868856710658,0.004731604381014276,0.5753012619840069
0.1,0.93308,0.7371399999999999,0.1,0.0047273671319244814,0.001855262784621096,0.6986784615384615,0.8946184615384616,0.7715391339528851,0.7809792571650656,0.012087546660903392,0.009440123212180462,0.7594515872919817
0.2,0.9276,0.8363000000000002,0.2,0.0030495901363954032,0.0016232683080747883,0.7978384615384617,0.8891384615384615,0.8810398910741303,0.8973163304149222,0.018139020531662053,0.016276439340791926,0.8629008705424682
0.3,0.9234,0.8686400000000001,0.3,0.0014432601983010206,0.0019811612756158725,0.8301784615384616,0.8849384615384616,0.9167524211800303,0.9381199909598235,0.02277701145450617,0.02136756977979315,0.8939754097255241
0.4,0.9147400000000001,0.89252,0.4,0.0027869337989984873,0.0017728508115462396,0.8540584615384615,0.8762784615384617,0.9431227124270586,0.974642763715784,0.032340107023989484,0.03152005128872537,0.9107826054030691
0.5,0.90602,0.90602,0.5,0.0017402426395317294,0.0017402426395317341,0.8675584615384616,0.8675584615384616,0.9580305403933435,1.0,0.041969459606656545,0.041969459606656545,0.9160610807866869
0.6,0.89252,0.9147400000000001,0.6,0.0017728508115462396,0.0027869337989984873,0.8762784615384617,0.8540584615384615,0.9676598929760105,,0.056877287572941415,,0.9107826054030691
0.7,0.8686400000000001,0.9234,0.7,0.0019811612756158725,0.0014432601983010206,0.8849384615384616,0.8301784615384616,0.9772229885454938,,0.08324757881996969,,0.8939754097255241
0.8,0.8363000000000002,0.9276,0.8,0.0016232683080747883,0.0030495901363954032,0.8891384615384615,0.7978384615384617,0.981860979468338,,0.11896010892586972,,0.8629008705424682
0.9,0.7371399999999999,0.93308,0.9,0.001855262784621096,0.0047273671319244814,0.8946184615384616,0.6986784615384615,0.9879124533390966,,0.2284608660471149,,0.7594515872919817
0.95,0.56672,0.93674,0.95,0.0014188023118109436,0.021470025617124917,0.8982784615384616,0.5282584615384616,0.9919541311432893,,0.41665286915928246,,0.5753012619840069
0.99,0.09972,0.9373400000000001,0.99,0.0009154233993076338,0.0007014271166700028,0.8988784615384616,0.06125846153846154,0.9926167012751244,,0.9323532884374325,,0.060263412837691877
