dataset,transfer_bonus
pinterest-20,6.093219967851643e-05
pinterest-20,0.0020924212041252693
pinterest-20,0.008820691647091705
pinterest-20,0.04826085088035176
pinterest-20,0.1269542099624963
pinterest-20,0.2690914771202648
pinterest-20,0.512757875285156
ml-10m_32_50,8.354325103019419e-05
ml-10m_32_50,0.010555708174024486
ml-10m_32_50,0.02595519552814307
ml-10m_32_50,0.0723842734654001
ml-10m_32_50,0.15297079747493986
ml-10m_32_50,0.27861857884334973
ml-10m_32_50,0.46737581498507297
cifar10,0.0005031709405859675
cifar10,0.004731604381014276
cifar10,0.009440123212180462
cifar10,0.016276439340791926
cifar10,0.02136756977979315
cifar10,0.03152005128872537
cifar10,0.041969459606656545
toxic,0.009656975003237978
toxic,0.016471825660649753
toxic,0.023352865183765448
toxic,0.034935077422704186
toxic,0.04809124541265564
toxic,0.06062557800225754
toxic,0.08382984282806283
