frac,large,small,frac,small_std,large_std,small_iow,large_iow,duplication,transfer,deletion,transfer_bonus,dup_bonus
0.01,0.7784695066228785,0.9890701222950513,0.01,0.0031079479566351233,0.00022986701528725627,-0.0009298777049486784,-0.2115304933771215,0.0043124078485158686,0.004395951099546063,0.019004590619495554,8.354325103019419e-05,-0.014692182770979684
0.05,0.7868859481665254,0.95305766770038,0.05,0.0009734483004745387,0.0003183354824007138,-0.03694233229961996,-0.20311405183347464,0.1713240385305883,0.1818797467046128,0.058036743316823514,0.010555708174024486,0.1132872952137648
0.1,0.7973744630286411,0.9431335733880777,0.1,0.0006928294755319507,0.0006388600453690165,-0.04686642661192231,-0.19262553697135887,0.21734809306380926,0.24330328859195233,0.10667835884320043,0.02595519552814307,0.11066973422060883
0.2,0.8171830334785669,0.9269947703994392,0.2,0.0005151097865324065,0.00038292338440766967,-0.06300522960056076,-0.17281696652143308,0.2921935273649758,0.3645778008303759,0.19854273436433867,0.0723842734654001,0.09365079300063711
0.3,0.8374806973913491,0.9102836840456874,0.3,0.0005952489262762096,0.000519383271278866,-0.07971631595431261,-0.15251930260865088,0.3696929873107579,0.5226637847856977,0.2926753334127805,0.15297079747493986,0.07701765389797738
0.4,0.8567041872325133,0.8927340794902537,0.4,0.0005967473685110167,0.0005017841690842535,-0.09726592050974625,-0.1332958127674867,0.45108116558456524,0.729699744427915,0.38182633469576843,0.27861857884334973,0.0692548308887968
0.5,0.8751510867803722,0.8751510867803722,0.5,0.0007840088015106057,0.0007840088015105973,-0.11484891321962776,-0.11484891321962776,0.532624185014927,1.0,0.46737581498507297,0.46737581498507297,0.06524837002985406
0.6,0.8927340794902537,0.8567041872325133,0.6,0.0005017841690842535,0.0005967473685110167,-0.1332958127674867,-0.09726592050974625,0.6181736653042316,,0.5489188344154348,,0.0692548308887968
0.7,0.9102836840456874,0.8374806973913491,0.7,0.000519383271278866,0.0005952489262762096,-0.15251930260865088,-0.07971631595431261,0.7073246665872195,,0.630307012689242,,0.07701765389797743
0.8,0.9269947703994392,0.8171830334785669,0.8,0.00038292338440766967,0.0005151097865324065,-0.17281696652143308,-0.06300522960056076,0.8014572656356613,,0.7078064726350242,,0.09365079300063717
0.9,0.9431335733880777,0.7973744630286411,0.9,0.0006388600453690165,0.0006928294755319507,-0.19262553697135887,-0.04686642661192231,0.8933216411567996,,0.7826519069361908,,0.11066973422060877
0.95,0.95305766770038,0.7868859481665254,0.95,0.0003183354824007138,0.0009734483004745387,-0.20311405183347464,-0.03694233229961996,0.9419632566831765,,0.8286759614694117,,0.1132872952137648
0.99,0.9890701222950513,0.7784695066228785,0.99,0.00022986701528725627,0.0031079479566351233,-0.2115304933771215,-0.0009298777049486784,0.9809954093805044,,0.9956875921514842,,-0.014692182770979723
