frac,large,small,frac,small_std,large_std,small_iow,large_iow,duplication,transfer,deletion,transfer_bonus,dup_bonus
0.01,0.9721211981892498,0.9132509181635686,0.01,0.00827591410148168,0.0001633636836905358,0.042681637819852125,0.1015519178455333,0.410636789263957,0.420293764267195,0.022976726814102122,0.009656975003237978,0.3876600624498549
0.05,0.9718117695678415,0.9348239955405498,0.05,0.005592409226948498,0.00019269815200096093,0.06425471519683335,0.10124248922412504,0.6181897249319063,0.634661550592556,0.025953716032223406,0.016471825660649753,0.5922360088996829
0.1,0.9712558508705985,0.9456861203031203,0.1,0.002264247747847744,0.00037224658824715803,0.07511683995940377,0.10068657052688201,0.7226934006322755,0.7460462658160409,0.03130216751131598,0.023352865183765448,0.6913912331209595
0.2,0.9702221119646388,0.9549710811697014,0.2,0.0017083206860219339,0.0004878802559755559,0.08440180082598492,0.09965283162092231,0.8120233025162417,0.8469583799389458,0.04124769085491853,0.034935077422704186,0.7707756116613231
0.3,0.9690025569371652,0.9599179995780169,0.3,0.001389312763525328,0.0005744722422502318,0.08934871923430043,0.0984332765934487,0.8596172280472953,0.907708473459951,0.05298093696244144,0.04809124541265564,0.8066362910848539
0.4,0.9678697058449783,0.9629126352313484,0.4,0.0009597992093978195,0.0005929202549283265,0.0923433548876319,0.09730042550126183,0.8884283897672293,0.9490539677694868,0.06388001110700037,0.06062557800225754,0.8245483786602289
0.5,0.96579611790949,0.96579611790949,0.5,0.0007343937212553869,0.0007343937212553636,0.09522683756577355,0.09522683756577355,0.9161701571719372,1.0,0.08382984282806283,0.08382984282806283,0.8323403143438743
0.6,0.9629126352313484,0.9678697058449783,0.6,0.0005929202549283265,0.0009597992093978195,0.09730042550126183,0.0923433548876319,0.9361199888929996,,0.11157161023277073,,0.8245483786602289
0.7,0.9599179995780169,0.9690025569371652,0.7,0.0005744722422502318,0.001389312763525328,0.0984332765934487,0.08934871923430043,0.9470190630375586,,0.14038277195270465,,0.8066362910848539
0.8,0.9549710811697014,0.9702221119646388,0.8,0.0004878802559755559,0.0017083206860219339,0.09965283162092231,0.08440180082598492,0.9587523091450815,,0.18797669748375834,,0.7707756116613231
0.9,0.9456861203031203,0.9712558508705985,0.9,0.00037224658824715803,0.002264247747847744,0.10068657052688201,0.07511683995940377,0.968697832488684,,0.2773065993677245,,0.6913912331209595
0.95,0.9348239955405498,0.9718117695678415,0.95,0.00019269815200096093,0.005592409226948498,0.10124248922412504,0.06425471519683335,0.9740462839677766,,0.38181027506809373,,0.5922360088996829
0.99,0.9132509181635686,0.9721211981892498,0.99,0.0001633636836905358,0.00827591410148168,0.1015519178455333,0.042681637819852125,0.9770232731858979,,0.5893632107360429,,0.38766006244985496
