frac,large,small,frac,small_std,large_std,small_iow,large_iow,duplication,transfer,deletion,transfer_bonus,dup_bonus
0.01,0.7000311155852474,0.37753623188405794,0.01,0.024526871443588883,0.0019845944419244316,0.2118993971222481,0.5343942808234377,0.3965712163926175,0.3965225765435522,-0.0001226660269619817,-4.863984906527952e-05,0.3966938824195795
0.05,0.6991989013504234,0.5574483508517578,0.05,0.016257819131573602,0.0022367043771113764,0.39181151608994796,0.5335620665886136,0.7332780160897978,0.7343316562870315,0.0014348287837148144,0.0010536401972336407,0.731843187306083
0.1,0.7038173471853104,0.6132270338829497,0.1,0.005947136900137478,0.012824996278817807,0.4475901991211399,0.5381805124235006,0.8376682148297052,0.8316729959350997,-0.007208625173485084,-0.005995218894605525,0.8448768400031903
0.2,0.695519818799547,0.6572800579867717,0.2,0.004334164970295911,0.0029652289428657107,0.49164322322496185,0.5298829840377373,0.9201137601775627,0.927833574648149,0.008320257728886116,0.007719814470586228,0.9117935024486766
0.3,0.693199761849292,0.6704517999516791,0.3,0.0031382406832603815,0.0015696790593870919,0.5048149651898692,0.5275629270874822,0.9447647681746241,0.9568810454078006,0.012662260676313042,0.012116277233176542,0.932102507498311
0.4,0.6893875332205847,0.6790124575311439,0.4,0.0034834579458234596,0.002924387814449874,0.513375622769334,0.5237506984587748,0.9607860992190462,0.9801908126901383,0.019796873445320107,0.019404713471092072,0.9409892257737261
0.5,0.6851686075920533,0.6851686075920533,0.5,0.003852607250875605,0.0038526072508755986,0.5195317728302435,0.5195317728302435,0.9723073774817773,1.0,0.027692622518222687,0.027692622518222687,0.9446147549635546
0.6,0.6790124575311439,0.6893875332205847,0.6,0.002924387814449874,0.0034834579458234596,0.5237506984587748,0.513375622769334,0.9802031265546799,,0.03921390078095377,,0.9409892257737261
0.7,0.6704517999516791,0.693199761849292,0.7,0.0015696790593870919,0.0031382406832603815,0.5275629270874822,0.5048149651898692,0.987337739323687,,0.05523523182537593,,0.932102507498311
0.8,0.6572800579867717,0.695519818799547,0.8,0.0029652289428657107,0.004334164970295911,0.5298829840377373,0.49164322322496185,0.9916797422711139,,0.07988623982243725,,0.9117935024486766
0.9,0.6132270338829497,0.7038173471853104,0.9,0.012824996278817807,0.005947136900137478,0.5381805124235006,0.4475901991211399,1.007208625173485,,0.16233178517029478,,0.8448768400031903
0.95,0.5574483508517578,0.6991989013504234,0.95,0.0022367043771113764,0.016257819131573602,0.5335620665886136,0.39181151608994796,0.9985651712162852,,0.2667219839102022,,0.731843187306083
0.99,0.37753623188405794,0.7000311155852474,0.99,0.0019845944419244316,0.024526871443588883,0.5343942808234377,0.2118993971222481,1.000122666026962,,0.6034287836073825,,0.3966938824195795
